scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,infect_percent,mProb,mSize,replicate,seed
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,1,1675705345
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,2,1675705346
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,3,1675705347
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,4,1675705348
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,5,1675705349
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,6,1675705350
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,7,1675705351
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,8,1675705352
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,9,1675705353
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,10,1675705354
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,1,1675705355
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,2,1675705356
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,3,1675705357
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,4,1675705358
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,5,1675705359
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,6,1675705360
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,7,1675705361
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,8,1675705362
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,9,1675705363
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,10,1675705364
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,1,1675705365
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,2,1675705366
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,3,1675705367
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,4,1675705368
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,5,1675705369
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,6,1675705370
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,7,1675705371
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,8,1675705372
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,9,1675705373
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,FALSE,10,FALSE,0.01,0.01,10,1675705374
